Address,Longitude,Latitude,Landlord,Neighbourhood,Apartment Building,Apartment Building Property Type,Apartment Building Property Management,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By,Rooming House,Rooming House Status
30 Aurora Crt,-79.316134,43.794613,Park Property Management Inc,L'Amoreaux,TRUE,Privately owned,Park Property Management Inc,1974,2017,167,13,2019-11-27,96,FALSE,,FALSE,,,FALSE,
5 Wingreen Crt,-79.3424487,43.7387868,Asp Sunrise Limited,Banbury-Don Mills,TRUE,Privately owned,Asp Sunrise Limited,1956,2017,22,3,2020-12-03,87,FALSE,,FALSE,,,FALSE,
75 Halsey Ave,-79.297556,43.699196,65/75 Halsey Inc,O'Connor-Parkview,TRUE,Privately owned,Redwood Properties,1970,2017,139,11,2019-12-05,77,FALSE,,FALSE,,,FALSE,
1751 Sheppard Ave E,-79.343958,43.7754013,Homestead Land Holdings Ltd,Henry Farm,TRUE,Privately owned,Unknown,2010,2017,74,7,2019-11-18,99,FALSE,,FALSE,,,FALSE,
138 Berry Rd,-79.4865147,43.6380404,134-138 Berry Inc,Stonegate-Queensway,TRUE,Privately owned,Gold Seal Management Inc.,1954,2017,22,3,2019-10-30,74,FALSE,,FALSE,,,FALSE,
2439 Finch Ave W,-79.550871,43.7497721,Finch Main Gardens (West) Limited,Humbermede,TRUE,Privately owned,Gold Seal Management Inc.,1962,2017,112,7,2020-11-04,82,FALSE,,FALSE,,,FALSE,
100 Broadway Ave,-79.3936581,43.7108939,Unknown,Mount Pleasant West,TRUE,Privately owned,Westdale Properties,1965,2017,47,10,2019-10-29,76,FALSE,,FALSE,,,FALSE,
200 Erskine Ave,-79.3909502,43.7130764,Unknown,Mount Pleasant East,TRUE,Privately owned,Unknown,1961,2017,15,4,2019-10-29,93,FALSE,,FALSE,,,FALSE,
170 Erskine Ave,-79.392573,43.7128287,Korvin Developments Ltd,Mount Pleasant West,TRUE,Privately owned,Unknown,1957,2017,31,4,2019-10-29,80,TRUE,2018-01-24,FALSE,,,FALSE,
250 Cosburn Ave,-79.3426529,43.6909316,Unknown,Old East York,TRUE,Privately owned,Unknown,1927,2017,40,6,2020-11-25,66,FALSE,,FALSE,,,FALSE,
75 Cosburn Ave,-79.3510042,43.6886985,75 Cosburn Apts,Broadview North,TRUE,Privately owned,75 Co,1968,2018,118,12,2020-11-26,92,TRUE,2019-10-21,FALSE,,,FALSE,
70 Clearview Hts,-79.4815982,43.6928086,Silvercore Inc (Trustee),Beechborough-Greenbrook,TRUE,Privately owned,Silvercore Properties Inc,1951,2017,47,4,2020-10-26,85,FALSE,,FALSE,,,FALSE,
80 Clearview Hts,-79.4821818,43.6930751,Silvercore Inc (Trustee),Beechborough-Greenbrook,TRUE,Privately owned,Silvercore Properties Inc,1951,2017,36,4,2020-10-26,84,FALSE,,FALSE,,,FALSE,
