Address,Longitude,Latitude,Landlord,Neighbourhood,Apartment Building,Apartment Building Property Type,Apartment Building Property Management,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By,Rooming House,Rooming House Status
135 Isabella St,-79.377284,43.669022,Toking Properties Corp,North St.James Town,TRUE,Privately owned,Unknown,1960,2017,79,9,2019-12-03,73,TRUE,2019-06-07,FALSE,,,FALSE,
80 Blake St,-79.3393776,43.6745205,Unknown,Blake-Jones,TRUE,Toronto Community Housing,TCH,1969,2017,190,14,2021-04-21,77,FALSE,,FALSE,,,FALSE,
40 Parkcrest Dr,-79.2199851,43.7353074,Jubal Enterprises Limited,Scarborough Village,TRUE,Privately owned,Canlight Management Inc.,1967,2017,100,12,2019-11-20,84,FALSE,,FALSE,,,FALSE,
3111 Eglinton Ave E,-79.2240382,43.7415977,Siteline (3111 Eglinton) Inc,Scarborough Village,TRUE,Privately owned,Cogir Management Corporation,1953,2017,68,6,2020-11-10,71,FALSE,,FALSE,,,FALSE,
450 B Scarborough Golf Club Rd,-79.215972,43.754423,Unknown,Woburn,TRUE,Social housing,Unknown,1991,2017,112,5,2021-04-22,86,FALSE,,FALSE,,,FALSE,
2788 Keele St,-79.4827839,43.7283162,The Merkur Group,Downsview-Roding-CFB,TRUE,Privately owned,Greenwin Corp.,1962,2017,41,4,2019-11-18,72,FALSE,,FALSE,,,FALSE,
2850 Keele St,-79.48358,43.7312543,907037 Ontario Inc,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1963,2017,12,3,2019-11-18,85,FALSE,,FALSE,,,FALSE,
1300 York Mills Rd,-79.323751,43.76197,Valleyyork Apts Inc,Parkwoods-Donalda,TRUE,Privately owned,Ranee Management,1965,2017,112,8,2021-04-19,74,FALSE,,FALSE,,,FALSE,
1531 Bathurst St,-79.4188901,43.6856499,Imh 1531-1539 Bathurst Ltd,Forest Hill South,TRUE,Privately owned,Unknown,1943,2017,32,4,2020-11-04,80,FALSE,,FALSE,,,FALSE,
612 Dawes Rd,-79.2958976,43.70738,Akelius Canada Ltd,O'Connor-Parkview,TRUE,Privately owned,Akelius Canada Ltd,1959,2017,60,5,2020-12-09,73,FALSE,,FALSE,,,FALSE,
114 Barrington Ave,-79.3026688,43.6923797,Unknown,Taylor-Massey,TRUE,Privately owned,Unknown,1968,2017,12,3,2020-11-18,70,FALSE,,FALSE,,,FALSE,
39 Raglan Ave,-79.4199518,43.6847848,39 Raglan Avenue Limited,Humewood-Cedarvale,TRUE,Privately owned,39 Raglan Ave Limited,1967,2017,101,9,2019-11-28,75,FALSE,,FALSE,,,FALSE,
1570 Bathurst St,-79.4198613,43.685997,Unknown,Humewood-Cedarvale,TRUE,Privately owned,Greenwin Corp.,1926,2017,36,4,2019-11-28,71,FALSE,,FALSE,,,FALSE,
2329 Kipling Ave,-79.5759961,43.731873,Stone Camp Holdings Ltd,Rexdale-Kipling,TRUE,Privately owned,Sunrise Property Management,1968,2017,40,5,2020-11-17,70,TRUE,2017-03-30,FALSE,,,FALSE,
2314 Islington Ave,-79.556044,43.716011,Rexdale Presbyterian Senior Citizens Corporation,Rexdale-Kipling,TRUE,Social housing,Unknown,1977,2017,194,11,2018-12-06,80,FALSE,,FALSE,,,FALSE,
50 Panorama Crt,-79.577064,43.748161,Cedar Grove Estates Inc,Mount Olive-Silverstone-Jamestown,TRUE,Privately owned,H&R Property Management,1976,2017,223,19,2019-10-28,68,TRUE,2017-02-24,FALSE,,,FALSE,
2667 Kipling Ave,-79.583992,43.748905,1241676 Ontario Inc,Mount Olive-Silverstone-Jamestown,TRUE,Privately owned,1241676 Ontario Inc,1978,2017,228,23,2020-10-22,79,FALSE,,FALSE,,,FALSE,
30 Hillsboro Ave,-79.392874,43.675666,Unknown,Annex,TRUE,Privately owned,Unknown,1965,2017,196,24,2019-11-26,84,FALSE,,FALSE,,,FALSE,
205 Morningside Ave,-79.1848262,43.7654072,Gf Ii 205 & 207 Morningside Avenue Ltd,West Hill,TRUE,Privately owned,Cogir Real Estate,1961,2017,107,5,2019-11-28,81,TRUE,"2019-10-11, 2017-07-31",TRUE,2018,0.58%,FALSE,
90 Heath St W,-79.3989633,43.6898533,Hollyburn Properties,Yonge-St.Clair,TRUE,Privately owned,Hollyburn Properties Ltd,1959,2017,37,3,2019-12-02,88,TRUE,2017-05-17,FALSE,,,FALSE,
70 Stevenvale Dr,-79.2213678,43.7589438,672278 Ontario Inc,Woburn,TRUE,Privately owned,Metcap Living Management Inc,1963,2017,100,6,2020-11-19,80,FALSE,,FALSE,,,FALSE,
3895 Lawrence Ave E,-79.207777,43.763143,Villa Siga Lawrence Inc,Woburn,TRUE,Privately owned,Metcap Living Management Inc,1975,2017,114,10,2019-11-28,83,FALSE,,FALSE,,,FALSE,
70 Mornelle Crt,-79.1978083,43.7868651,70 Mornelle Apts Ltd,Morningside,TRUE,Privately owned,Mornelle Court Apartments,1976,2017,264,16,2021-04-27,78,FALSE,,FALSE,,,FALSE,
4010 Lawrence Ave E,-79.199192,43.7667263,4000-4010 Lawrence Ave Inc,West Hill,TRUE,Privately owned,Capreit,1967,2017,220,14,2019-11-28,83,TRUE,2017-05-29,FALSE,,,FALSE,
2988 Keele St,-79.4848892,43.7362155,1884531 Ontario Ltd,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1954,,11,3,2020-11-12,67,FALSE,,FALSE,,,FALSE,
2954 Keele St,-79.4845615,43.7353489,Unknown,Downsview-Roding-CFB,TRUE,Privately owned,N/A,1954,2017,12,3,2019-11-08,74,FALSE,,FALSE,,,FALSE,
3250 Keele St,-79.4861314,43.7419203,3250 Keele Apartments Inc,Downsview-Roding-CFB,TRUE,Privately owned,3250 Keele Apartments Inc,1963,2017,59,4,2019-11-07,75,FALSE,,FALSE,,,FALSE,
24 Seeley Dr,-79.4927544,43.7406656,Iana Developments Ltd,Downsview-Roding-CFB,TRUE,Privately owned,Unknown,1959,2017,100,4,2019-11-18,72,FALSE,,FALSE,,,FALSE,
111 Whitburn Cres,-79.4915398,43.7385176,111 Whitburn Holdings Limited,Downsview-Roding-CFB,TRUE,Privately owned,Davpart Inc,1977,2017,46,3,2020-10-14,87,FALSE,,FALSE,,,FALSE,
3390 Keele St,-79.4884716,43.7469518,Imh 3390 Keele Ltd,York University Heights,TRUE,Privately owned,Unknown,1965,2017,258,11,2020-10-29,76,TRUE,2019-10-17,FALSE,,,FALSE,
3444 Keele St,-79.4882262,43.750216,Downsview Park Apartments Inc,York University Heights,TRUE,Privately owned,Unknown,1967,2017,61,9,2019-11-07,76,TRUE,2019-04-09,FALSE,,,FALSE,
3700 Keele St,-79.4893783,43.7552435,All Fair Investment And Enterprises Ltd,York University Heights,TRUE,Privately owned,Dms Property Management Ltd,1962,2017,57,3,2020-10-28,73,FALSE,,FALSE,,,FALSE,
130 Vaughan Rd,-79.4220015,43.6847732,Toronto Community Housing,Humewood-Cedarvale,TRUE,Toronto Community Housing,Unknown,1977,2017,99,9,2021-04-20,85,FALSE,,FALSE,,,FALSE,
210 Wychwood Ave,-79.4244102,43.6844316,210 Wychwood Ltd,Humewood-Cedarvale,TRUE,Privately owned,Cogir Management Corporation,1930,2017,40,4,2019-11-28,83,TRUE,"2020-02-03, 2018-05-30",FALSE,,,FALSE,
10 Garfella Dr,-79.593093,43.745323,Siteline (10 Garfella) Inc,Mount Olive-Silverstone-Jamestown,TRUE,Privately owned,Cogir Real Estate,1969,2017,143,7,2020-10-22,68,TRUE,"2020-11-26, 2019-06-10",FALSE,,,FALSE,
88 Humber College Blvd,-79.5986538,43.7317374,A C L I Etobicoke,West Humber-Clairville,TRUE,Social housing,Unknown,1989,2017,119,4,2019-10-28,72,FALSE,,FALSE,,,FALSE,
2309 Lake Shore Blvd W,-79.4864917,43.6177182,Vinen Atlantic S A,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Aiderbook Management Inc.,1954,2017,28,4,2020-11-09,69,FALSE,,FALSE,,,FALSE,
51 Stanley Ave,-79.4896735,43.6160417,571051 Ontario Limited,Mimico (includes Humber Bay Shores),TRUE,Privately owned,571051 Ontario Limited,1951,2017,12,3,2020-11-25,73,FALSE,,FALSE,,,FALSE,
10 Hogarth Ave,-79.3554501,43.6739646,Brydale Limited,North Riverdale,TRUE,Privately owned,M&R Property Management,1968,2017,287,23,2020-11-16,87,TRUE,"2020-09-28, 2018-08-16, 2017-03-10",TRUE,2017,0.55%,FALSE,
852 Broadview Ave,-79.3585319,43.6791157,Unknown,Playter Estates-Danforth,TRUE,Privately owned,Unknown,1960,2018,21,4,2020-11-16,70,FALSE,,FALSE,,,FALSE,
846-850 Broadview Ave,-79.3585651,43.6789913,Broadview Apartments,Playter Estates-Danforth,TRUE,Privately owned,Upper Broadview Suites Ltd,1940,2017,24,3,2020-11-16,94,TRUE,2021-04-12,FALSE,,,FALSE,
1187-1189 Queen St E,-79.3316341,43.6627063,Unknown,South Riverdale,TRUE,Social housing,Mainstay Housing,1988,2017,34,4,2020-12-14,78,FALSE,,FALSE,,,FALSE,
1570 King St W,-79.44417,43.638144,Ksm Investment Ltd,South Parkdale,TRUE,Privately owned,Unknown,1910,,18,3,2020-12-11,72,FALSE,,FALSE,,,FALSE,
70 Wilson Park Rd,-79.442482,43.638631,2493241 Ontario Ltd,South Parkdale,TRUE,Privately owned,Unknown,1970,2017,25,3,2020-12-10,75,FALSE,,FALSE,,,TRUE,Licensed prior to 2018
22 Maynard Ave,-79.4379479,43.6377828,The Neighbourhood Land Trust,South Parkdale,TRUE,Privately owned,Unknown,1978,2017,36,3,2020-11-19,79,FALSE,,FALSE,,,FALSE,
1167 Queen St E,-79.3328829,43.6624929,Toronto Community Housing,South Riverdale,TRUE,Toronto Community Housing,Unknown,1995,2017,40,5,2019-12-04,67,FALSE,,FALSE,,,FALSE,
1320 Gerrard St E,-79.3263203,43.6715923,Athens Villa Non-Profit,Greenwood-Coxwell,TRUE,Social housing,Unknown,1994,2017,45,5,2019-01-22,93,FALSE,,FALSE,,,FALSE,
369 Pape Ave,-79.3407098,43.6698138,Toronto Community Housing,Blake-Jones,TRUE,Toronto Community Housing,Unknown,1981,2017,139,8,2021-04-29,81,FALSE,,FALSE,,,FALSE,
796 Carlaw Ave,-79.3478197,43.6788565,Olympia Holding Co Ltd,Playter Estates-Danforth,TRUE,Privately owned,Unknown,1922,2018,31,4,2021-04-29,58,FALSE,,FALSE,,,FALSE,
109 Indian Rd,-79.4525117,43.6433308,Akelius Canada Ltd,High Park-Swansea,TRUE,Privately owned,Unknown,1970,2017,38,8,2020-10-27,79,FALSE,,FALSE,,,FALSE,
1639 Bloor St W,-79.4556291,43.6554137,Alhambra Investments Ltd,High Park-Swansea,TRUE,Privately owned,Greenwin Inc.,1960,2017,46,6,2020-10-30,77,FALSE,,FALSE,,,FALSE,
2373 Queen St E,-79.287892,43.67248,Westwood Holdings (Vi) Inc,The Beaches,TRUE,Privately owned,Unknown,1930,2017,27,3,2020-11-20,70,FALSE,,FALSE,,,FALSE,
158 Kingston Rd,-79.3112229,43.6712641,Maclean Carol,Woodbine Corridor,TRUE,Privately owned,Unknown,1960,2017,44,4,2019-12-05,74,FALSE,,FALSE,,,FALSE,
923 St Clair Ave W,-79.434483,43.679533,923 Truman St Clair Holdings Ltd,Wychwood,TRUE,Privately owned,Unknown,1930,2017,24,4,2021-05-05,78,FALSE,,FALSE,,,FALSE,
917 St Clair Ave W,-79.4341341,43.6796544,Unknown,Wychwood,TRUE,Privately owned,Star Property Management Ltd.,1957,2017,16,3,2021-05-05,71,FALSE,,FALSE,,,FALSE,
2150 Queen St E,-79.2917926,43.6719788,Manor Investments Inc,The Beaches,TRUE,Privately owned,Unknown,1923,2017,16,4,2020-11-26,76,FALSE,,FALSE,,,FALSE,
59 Balsam Ave,-79.2898808,43.6724748,Unknown,The Beaches,TRUE,Privately owned,Unknown,1927,2020,19,3,2020-11-26,71,FALSE,,FALSE,,,FALSE,
425 Coxwell Ave,-79.320865,43.6774958,Unknown,Woodbine Corridor,TRUE,Social housing,Unknown,2002,2017,30,3,2019-12-05,87,FALSE,,FALSE,,,FALSE,
3218 St Clair Ave E,-79.2898366,43.710319,Nahsor Enterprises Inc,Clairlea-Birchmount,TRUE,Privately owned,Excel Property Management,1952,2017,16,3,2020-11-13,76,FALSE,,FALSE,,,FALSE,
23 Durnford Rd,-79.1501145,43.7994444,Knight's Village Non-Profit,Rouge,TRUE,Social housing,Unknown,1992,2018,14,3,2021-04-13,80,FALSE,,FALSE,,,FALSE,
314 The Kingsway,-79.5235929,43.6646401,1179127 Ontario Limited,Edenbridge-Humber Valley,TRUE,Privately owned,Law Property Management,1954,2017,22,3,2020-12-15,86,FALSE,,FALSE,,,FALSE,
2727 Victoria Park Ave,-79.323245,43.777339,Double Z Investments Ltd,L'Amoreaux,TRUE,Privately owned,Ranee Management,1972,2017,178,13,2020-12-08,83,FALSE,,FALSE,,,FALSE,
40 Aurora Crt,-79.315616,43.794686,Park Property Management,L'Amoreaux,TRUE,Privately owned,Park Property Management Inc,1974,2017,167,13,2019-11-27,92,FALSE,,FALSE,,,FALSE,
125 Bamburgh Crcl,-79.325604,43.813096,Unknown,Steeles,TRUE,Privately owned,Unknown,1978,2017,332,20,2019-12-10,93,FALSE,,FALSE,,,FALSE,
500 Murray Ross Pkwy,-79.5057554,43.7641915,Capreit,York University Heights,TRUE,Privately owned,Capreit,1978,2017,390,19,2019-11-19,86,TRUE,"2019-11-05, 2016-12-13, 2016-02-24",FALSE,,,FALSE,
1111 Lawrence Ave W,-79.463451,43.7118592,Midan Properties Inc,Yorkdale-Glen Park,TRUE,Privately owned,Midan Properties Inc.,1958,2017,15,3,2020-11-03,81,FALSE,,FALSE,,,FALSE,
1600 Bathurst St,-79.4208541,43.6883935,1600 Bathurst Limited,Humewood-Cedarvale,TRUE,Privately owned,Astroid Management Ltd.,1939,2017,34,4,2019-11-27,68,FALSE,,FALSE,,,FALSE,
261 Vaughan Rd,-79.4258556,43.688855,Mr-V 261 Vanughan Road Avenue Inc,Humewood-Cedarvale,TRUE,Privately owned,Hazelview Properties,1940,2017,33,3,2019-11-27,81,TRUE,2019-10-31,FALSE,,,FALSE,
12 Albert Ave,-79.4889234,43.615891,571051 Ontario Ltd,Mimico (includes Humber Bay Shores),TRUE,Privately owned,571051 Ontario Limited,1957,2017,12,3,2020-11-05,71,FALSE,,FALSE,,,FALSE,
2557 Lake Shore Blvd W,-79.489185,43.6090729,Lakeshore Blvd Properties Gp Limited,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Unknown,1952,2017,26,4,2019-10-31,67,FALSE,,FALSE,,,FALSE,
2555 Lake Shore Blvd W,-79.4898359,43.6090454,Lakeshore Blvd Properties Gp Limited,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Unknown,1952,2017,26,4,2020-11-19,80,FALSE,,FALSE,,,FALSE,
2547 Lake Shore Blvd W,-79.4892005,43.6093057,Lakeshore Blvd Properties Gp Limited,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Unknown,1952,2017,26,4,2020-11-19,76,FALSE,,FALSE,,,FALSE,
2519 Lake Shore Blvd W,-79.4895467,43.6105897,Heart Of Gold Investments Ltd,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Aiderbrook Management Inc.,1970,2017,44,4,2020-11-18,68,FALSE,,FALSE,,,FALSE,
2663 Lake Shore Blvd W,-79.493922,43.603135,Royal York Shores (2663) Inc,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Unknown,1953,2017,111,8,2019-10-31,71,TRUE,2020-02-24,FALSE,,,FALSE,
6 Royal York Rd,-79.4934504,43.6031698,1440680 Ontario Limited,Mimico (includes Humber Bay Shores),TRUE,Privately owned,Unknown,1951,2017,72,5,2019-10-31,75,FALSE,,FALSE,,,FALSE,
10 Maple Leaf Dr,-79.5048439,43.7095195,Unknown,Rustic,TRUE,Social housing,Unknown,1992,2017,150,10,2019-11-06,84,FALSE,,FALSE,,,FALSE,
1290 Danforth Rd,-79.2457956,43.7407776,East Toronto Presbytery,Eglinton East,TRUE,Social housing,Unknown,1978,2017,179,8,2020-12-07,89,FALSE,,FALSE,,,FALSE,
5 Brookbanks Dr,-79.332686,43.751295,Hardit Corporation,Parkwoods-Donalda,TRUE,Privately owned,Unknown,1968,2017,124,15,2019-11-04,94,TRUE,"2021-04-16, 2019-05-07, 2018-04-11, 2017-02-06",FALSE,,,FALSE,
365 Grandravine Dr,-79.5148281,43.7469536,Fred Hageman's Holdings Ltd,Glenfield-Jane Heights,TRUE,Privately owned,Fred Hageman's Holdings Ltd.,1971,2017,118,15,2019-11-19,72,FALSE,,FALSE,,,FALSE,
7 Arleta Ave,-79.5008708,43.7420123,Toronto Community Housing,Glenfield-Jane Heights,TRUE,Toronto Community Housing,TCH,1972,2017,201,4,2020-10-16,65,FALSE,,FALSE,,,FALSE,
1 Dean Park Rd,-79.1702963,43.8044849,Dean Park Holdings Limited,Rouge,TRUE,Privately owned,Medallion Corporation,1979,2017,249,16,2019-11-28,83,FALSE,,FALSE,,,FALSE,
2555 Bloor St W,-79.490614,43.647631,Unknown,High Park-Swansea,TRUE,Privately owned,Unknown,1940,2017,34,4,2020-10-30,75,FALSE,,FALSE,,,FALSE,
8 Wasdale Cres,-79.4350942,43.7312493,Unknown,Englemount-Lawrence,TRUE,Privately owned,Petar Tucakov,1957,2017,10,3,2020-12-18,80,FALSE,,FALSE,,,FALSE,
30 Wasdale Cres,-79.436839,43.7308826,Krns Properties Inc,Englemount-Lawrence,TRUE,Privately owned,Knrs Properties Inc,1956,2017,10,3,2020-11-18,74,FALSE,,FALSE,,,FALSE,
24 Hotspur Rd,-79.4350937,43.7330683,1772131 Ontario Inc,Englemount-Lawrence,TRUE,Privately owned,Unknown,1952,2017,10,3,2020-11-17,80,FALSE,,FALSE,,,FALSE,
1652 Bathurst St,-79.4234338,43.6942509,Regal Court Holdings Inc,Humewood-Cedarvale,TRUE,Privately owned,Unknown,1950,2017,39,4,2019-11-27,84,FALSE,,FALSE,,,FALSE,
67 Lake Shore Dr,-79.5007075,43.5965122,Kermeadow Properties Ltd,New Toronto,TRUE,Privately owned,"Atlantis Realty Services, Inc.",1958,2017,18,3,2019-10-31,82,TRUE,2018-08-16,FALSE,,,FALSE,
68 Fifteenth St,-79.5155662,43.6018743,68 Street Ltd,New Toronto,TRUE,Privately owned,G Merulla Inc.,1957,2017,23,3,2020-11-26,75,FALSE,,FALSE,,,FALSE,
95 Twenty Fifth St,-79.522943,43.595631,Hampton Developments Limited,Long Branch,TRUE,Privately owned,Unknown,1957,2017,46,3,2020-11-26,74,FALSE,,FALSE,,,FALSE,
5 Forty Third St,-79.546025,43.59007,Tnrc Community Properties,Long Branch,TRUE,Social housing,Unknown,1953,2017,40,3,2019-10-30,83,FALSE,,FALSE,,,FALSE,
5 Wakunda Pl,-79.3046713,43.7155681,Toronto Community Housing,Victoria Village,TRUE,Toronto Community Housing,TCH,1967,2017,198,11,2021-04-21,75,FALSE,,FALSE,,,FALSE,
101 Roehampton Ave,-79.39537,43.708348,Roehampton Apartments Limited,Mount Pleasant West,TRUE,Privately owned,Unknown,1973,2017,129,20,2020-12-02,78,FALSE,,FALSE,,,FALSE,
110 Rajah St,-79.4388218,43.7312673,Bayso Holdings Ltd,Englemount-Lawrence,TRUE,Privately owned,Falconwin Property Mng,1957,2017,12,3,2020-12-02,77,FALSE,,FALSE,,,FALSE,
46 Saranac Blvd,-79.4310876,43.7234163,Westdale Construction Co Ltd,Englemount-Lawrence,TRUE,Privately owned,Westdale Properties,1960,2017,36,3,2020-12-02,81,FALSE,,FALSE,,,FALSE,
640 Lauder Ave,-79.446146,43.693759,Northcliffe Holdings,Oakwood Village,TRUE,Privately owned,R A B Properties Limited,1965,2017,129,10,2020-11-13,80,TRUE,2020-06-29,FALSE,,,FALSE,
560 Oakwood Ave,-79.4414869,43.6933488,560 Oakwood Inc,Oakwood Village,TRUE,Privately owned,Unknown,1960,2017,24,3,2021-04-12,55,FALSE,,FALSE,,,FALSE,
1490 Eglinton Ave W,-79.439572,43.697766,Hallpine Investments Inc,Oakwood Village,TRUE,Privately owned,Hallpine Investments Inc.,1955,2017,34,4,2020-12-16,88,FALSE,,FALSE,,,FALSE,
1040 Castlefield Ave,-79.4499991,43.701051,1040 Castlefield Apartments Limited,Briar Hill-Belgravia,TRUE,Privately owned,Unknown,1959,2017,44,4,2020-11-20,80,FALSE,,FALSE,,,FALSE,
240 Lake Promenade,-79.531398,43.5892754,Lake Promenade Apartments Limited,Long Branch,TRUE,Privately owned,Compten Management Inc.,1963,2017,118,7,2020-11-24,73,FALSE,,FALSE,,,FALSE,
6 Twenty Fourth St,-79.523262,43.597524,Fairfield Towers Ltd,Long Branch,TRUE,Privately owned,Gold Seal Management Inc.,1968,2017,81,7,2019-03-15,89,FALSE,,FALSE,,,FALSE,
40 Gordonridge Pl,-79.2513183,43.7275478,Toronto Community Housing,Kennedy Park,TRUE,Toronto Community Housing,Unknown,1972,2017,421,18,2020-11-07,71,FALSE,,FALSE,,,FALSE,
485 Patricia Ave,-79.4445614,43.7837228,Patricia And Bathurst Development Inc,Newtonbrook West,TRUE,Privately owned,Myriad Property Management,2012,2017,240,10,2019-11-06,99,FALSE,,FALSE,,,FALSE,
15 Harding Ave,-79.5015704,43.6992087,1555 Jane Street Limited,Brookhaven-Amesbury,TRUE,Privately owned,Medallion Corporation,1968,2017,335,19,2020-11-02,77,TRUE,2020-01-08,FALSE,,,FALSE,
10 Kingston Rd,-79.3124658,43.668283,Unknown,Woodbine Corridor,TRUE,Privately owned,Firm Capital Properties Inc,1970,2017,16,3,2020-11-24,75,FALSE,,FALSE,,,FALSE,
180 Sudbury St,-79.425184,43.641892,Abell Investments Limited,Little Portugal,TRUE,Social housing,Unknown,2011,2017,190,18,2019-11-25,77,FALSE,,FALSE,,,FALSE,
177 Redpath Ave,-79.393151,43.709898,The Meridian Building Group Limited,Mount Pleasant West,TRUE,Privately owned,North Edge Properties Ltd.,1965,2017,148,17,2019-12-02,85,TRUE,2018-03-14,TRUE,2018,1.8%,FALSE,
127 Broadway Ave,-79.392196,43.71038,Unknown,Mount Pleasant West,TRUE,Privately owned,Cromwell Management Inc.,1950,2017,60,4,2019-12-02,71,FALSE,,FALSE,,,FALSE,
96 Mulholland Ave,-79.4552742,43.7207087,Rms Family Holdings Ltd,Yorkdale-Glen Park,TRUE,Privately owned,Mpm Inc.,1960,2017,11,3,2021-04-30,69,FALSE,,FALSE,,,FALSE,
55 Faywood Blvd,-79.4464328,43.7374778,55 Faywood Holdings Inc Trustee,Clanton Park,TRUE,Privately owned,Compten Management Inc.,1960,2017,33,4,2020-12-09,76,FALSE,,FALSE,,,FALSE,
12 King High Ave,-79.4430987,43.7362305,Toronto Community Housing,Clanton Park,TRUE,Toronto Community Housing,TCH,1962,2017,31,3,2020-10-20,86,FALSE,,FALSE,,,FALSE,
490 Wilson Ave,-79.4454716,43.7353322,Collecdev (500 Wilson) Inc,Clanton Park,TRUE,Privately owned,Orfus Realty,1955,2017,55,3,2019-03-12,69,FALSE,,FALSE,,,FALSE,
3890 Bathurst St,-79.4359557,43.7431585,D D 3890 Bathurst Ltd,Clanton Park,TRUE,Privately owned,Unknown,1958,2017,30,4,2020-11-18,84,TRUE,2017-04-20,FALSE,,,FALSE,
1500 Keele St,-79.4718686,43.6796742,Bello Horizonte Non-Profit Homes Corp,Keelesdale-Eglinton West,TRUE,Social housing,Self Managed,1996,2017,132,11,2019-11-07,76,FALSE,,FALSE,,,FALSE,
2480 Eglinton Ave W,-79.469473,43.691655,Micah Homes Non-Profit,Beechborough-Greenbrook,TRUE,Social housing,Unknown,1993,2017,97,8,2020-11-04,62,FALSE,,FALSE,,,FALSE,
225 Morningside Ave,-79.185116,43.767034,Toronto Community Housing,West Hill,TRUE,Toronto Community Housing,Del Managment,1972,2017,99,10,2019-11-28,71,FALSE,,FALSE,,,FALSE,
320 Seaton St,-79.3714625,43.6625357,Toronto Community Housing,Moss Park,TRUE,Toronto Community Housing,Unknown,1961,2017,25,6,2019-12-10,69,FALSE,,FALSE,,,FALSE,
145 Arlington Ave,-79.4288454,43.6820037,Akelius Canada Ltd,Humewood-Cedarvale,TRUE,Privately owned,Akelius Canada Ltd,1930,2019,32,4,2019-11-28,79,TRUE,2017-04-04,TRUE,2019,6.11%,FALSE,
2846 Bloor St W,-79.5040696,43.6492896,1568662 Ontario Ltd,Kingsway South,TRUE,Privately owned,Unknown,1955,2017,16,4,2020-12-10,85,TRUE,2018-12-10,FALSE,,,FALSE,
120 Broadway Ave,-79.392909,43.7113127,Unknown,Mount Pleasant West,TRUE,Privately owned,Westdale Properties,1957,2017,48,4,2019-10-29,79,FALSE,,FALSE,,,FALSE,
110 Broadway Ave,-79.393289,43.711183,Unknown,Mount Pleasant West,TRUE,Privately owned,Westdale Properties,1948,2017,71,4,2019-10-29,76,FALSE,,FALSE,,,FALSE,
65 Keewatin Ave,-79.397383,43.712278,Perry-Can Enterprises Ltd,Mount Pleasant West,TRUE,Privately owned,Unknown,1958,2017,50,4,2018-12-13,89,FALSE,,FALSE,,,FALSE,
26 Rosseau Rd,-79.437763,43.7432421,Rosseau Road Inc,Clanton Park,TRUE,Privately owned,Dms Property Management Ltd,1949,2017,11,3,2020-10-21,88,TRUE,"2021-04-08, 2019-04-05",FALSE,,,FALSE,
4190 Bathurst St,-79.437275,43.74856,Blackstar 4190 Bathurst Ltd,Clanton Park,TRUE,Privately owned,Unknown,1966,2017,80,9,2019-11-07,81,FALSE,,FALSE,,,FALSE,
4266 Bathurst St,-79.4380305,43.7518765,Upper Canada Lodge B'nai B'rith Senior Citizens Foundation,Clanton Park,TRUE,Social housing,Greenwin Inc.,1983,2017,130,9,2019-11-07,76,FALSE,,FALSE,,,FALSE,
4350 Bathurst St,-79.4385206,43.7541183,Unknown,Clanton Park,TRUE,Privately owned,Alexis Court Apartments,1969,2017,35,6,2019-11-07,80,FALSE,,FALSE,,,FALSE,
15 Torresdale Ave,-79.451095,43.773467,B'nai Brith Canada Family,Westminster-Branson,TRUE,Social housing,Greenwin Inc.,1994,2017,61,7,2020-11-03,65,FALSE,,FALSE,,,FALSE,
102 Trethewey Dr,-79.4834755,43.6931199,Sabjoy Inc,Beechborough-Greenbrook,TRUE,Privately owned,Kpm Property Management,1957,2017,30,4,2020-10-29,74,FALSE,,FALSE,,,FALSE,
81 Clearview Hts,-79.482714,43.692458,Unknown,Beechborough-Greenbrook,TRUE,Privately owned,Unknown,1950,2017,40,3,2021-04-27,74,FALSE,,FALSE,,,FALSE,
1622 Lawrence Ave W,-79.4898896,43.7063463,Toronto Community Housing,Rustic,TRUE,Toronto Community Housing,Del Managment,1955,2017,20,3,2020-10-19,78,FALSE,,FALSE,,,FALSE,
3 Flemington Rd,-79.4421478,43.7191679,Toronto Community Housing,Englemount-Lawrence,TRUE,Toronto Community Housing,TCH,1957,2017,31,3,2020-12-09,73,FALSE,,FALSE,,,FALSE,
327 Dixon Rd,-79.5550574,43.694873,D Raschilla Investments Inc,Kingsview Village-The Westway,TRUE,Privately owned,D. Raschilla Investments Inc.,1962,2017,55,6,2020-11-19,74,FALSE,,FALSE,,,FALSE,
135 Neptune Dr,-79.440216,43.729521,Toronto Community Housing,Englemount-Lawrence,TRUE,Toronto Community Housing,TCH,1974,2017,48,4,2019-03-13,82,FALSE,,FALSE,,,FALSE,
