Address,Longitude,Latitude,Neighbourhood,Apartment Building,Apartment Building Property Type,Year Built,Year Registered,Apartment Building Units,Apartment Building Storeys,Property Management Or Landlord,RentSafeTO Evaluation Completed On,RentSafeTO Score,Has AGI,Dates AGI Initiated,Received TDF,Received TDF Year,TDF Reduced Increase By
150 Elizabeth St,-79.3859138,43.656508,Bay Street Corridor,TRUE,SOCIAL HOUSING,,,250,17,,2019-11-26,97,FALSE,,FALSE,,
1339 King St W,-79.4326263,43.6377184,South Parkdale,TRUE,SOCIAL HOUSING,1920,2017,10,3,,2021-04-28,84,FALSE,,FALSE,,
8 Broadway Ave,-79.3983179,43.7099442,Mount Pleasant West,TRUE,TCHC,1993,2017,83,7,TCH,2019-10-29,91,FALSE,,FALSE,,
69 Holly St,-79.396251,43.706265,Mount Pleasant West,TRUE,TCHC,1969,2018,14,4,TCH,2020-12-15,73,FALSE,,FALSE,,
5 Rosseau Rd,-79.4363365,43.7418062,Clanton Park,TRUE,PRIVATE,1960,2018,11,3,Ram-Land Property Management,2020-12-08,75,FALSE,,FALSE,,
74 Hubbard Blvd,-79.2911278,43.6691073,The Beaches,TRUE,PRIVATE,1928,2020,12,3,,2020-03-03,86,FALSE,,FALSE,,
1294 Islington Ave,-79.5262021,43.6489855,Islington-City Centre West,TRUE,PRIVATE,1971,2017,77,8,Hollyburn Properties Ltd,2019-10-29,74,FALSE,,FALSE,,
259 Sumach St,-79.3607224,43.6624163,Regent Park,TRUE,TCHC,2006,2017,47,3,TCH,2019-12-03,64,FALSE,,FALSE,,
274 Sackville St,-79.3640519,43.661544,Regent Park,TRUE,TCHC,1948,2017,71,6,TCH,2019-12-03,59,FALSE,,FALSE,,
35 Thorncliffe Park Dr,-79.345095,43.70199,Thorncliffe Park,TRUE,PRIVATE,1964,2017,287,18,Morguard Nar Canda L.p,2019-10-31,67,FALSE,,FALSE,,
26 Thorncliffe Park Dr,-79.345829,43.7032039,Thorncliffe Park,TRUE,PRIVATE,1960,2017,62,6,Centurion,2019-10-31,89,TRUE,2017-12-07,TRUE,2019,0.26%
3171 Bathurst St,-79.4300561,43.7220982,Bedford Park-Nortown,TRUE,PRIVATE,1970,2017,47,6,Lloyd Zerker Realty Limited,2020-12-04,81,TRUE,2018-11-01,FALSE,,
222 Wilson Ave,-79.4260839,43.7392154,Bedford Park-Nortown,TRUE,PRIVATE,1957,2017,11,3,G. Antinori,2019-11-19,77,FALSE,,FALSE,,
284 Lawrence Ave W,-79.4147677,43.7227845,Bedford Park-Nortown,TRUE,PRIVATE,1940,2018,15,3,,2020-12-08,65,FALSE,,FALSE,,
4085 Bathurst St,-79.4354445,43.7447127,Lansing-Westgate,TRUE,SOCIAL HOUSING,1950,2017,10,3,Mainstay Housing,2020-12-10,79,TRUE,2019-03-08,FALSE,,
